id,sport,league,match,odds,match_date,status,created_at,updated_at,betting_company_id,stake,total_win,result_id
b387d91b-8375-4bc7-976a-f85b5f754c3c,Tenis,ITF Monastir m,Ivanov-Missaoui,1.040,2025-12-10 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 19:08:57.798984+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,312,38550af5-80c0-4fbf-8530-3faefc77872d
b692d221-ba12-431c-9407-991e36a5f51a,Basketbal,USK,KP Brno 1.polčas,1.050,2025-11-19 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,420,38550af5-80c0-4fbf-8530-3faefc77872d
bc15c01c-0f27-44ef-89ad-8cb44ca69eb5,Volejbal,,Orkelljunga - Hasthagen,1.040,2025-11-23 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,800,832,38550af5-80c0-4fbf-8530-3faefc77872d
c2f96930-cb30-44a6-8abf-2afb0da7be5a,Tennis,UTR Newport m,Snitari-Papa,1.040,2025-12-18 20:18:34.513+00,win,2025-12-29 19:19:28.660324+00,2025-12-29 19:19:32.211457+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,312,38550af5-80c0-4fbf-8530-3faefc77872d
c5be7b08-d773-43ff-9c59-fd1e6934a00b,Tenis,WTA Buenos Aires,Vazqez - Dolehide,1.040,2025-11-25 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,416,dce0bb02-eec7-4e35-8979-27d3ad80e626
c9945d69-d3a8-458f-916f-58e1ea708862,Tenis,UTR Honolulu m,Dean-Takahashi,1.060,2025-12-09 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,212,38550af5-80c0-4fbf-8530-3faefc77872d
ce14a316-5fa0-456a-a0e8-0b78bd72e798,Tenis,Masters,Sinner - DeMinaur,1.080,2025-11-15 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,200,216,38550af5-80c0-4fbf-8530-3faefc77872d
d03466e3-8c48-45a5-bb09-f4938485e471,Volleyball,Rumunsko m,Dinamo-CSM,1.030,2025-12-25 15:00:28.001+00,win,2025-12-29 20:57:12.2562+00,2025-12-29 20:57:15.956861+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,600,618,38550af5-80c0-4fbf-8530-3faefc77872d
d3d453ae-6a4d-4551-bb27-2b279b45230d,hadzana,mol liga,Poruba - Slavia,1.210,2025-11-09 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,100,121,dce0bb02-eec7-4e35-8979-27d3ad80e626
d8a32172-175d-4af1-8c0c-66bff75bc381,Tenis,ITF Austin,Choi - Grumet,1.080,2025-11-18 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,216,dce0bb02-eec7-4e35-8979-27d3ad80e626
