date,betting_company,sport,league,team,odds,amount
30.11.2025,Bet365,volejbal,Estónsko muži,tallina,1.015,296
30.11.2025,Bet365,volejbal,Portugalsko ženy,sporting,1.01,296
30.11.2025,Bet365,volejbal,Dánsko muži,asv aarhus,1.05,296
30.11.2025,Bet365,volejbal,SVK ženy,Nitra,1.03,296
30.11.2025,Nike,basketbal,kvalifikácia ms oceania asia muži,Filipíny,1.01,600
30.11.2025,Nike,basketbal,Taliansko ženy,Venezia,1.01,600
30.11.2025,Nike,squash,muži,asal,1.02,400
1.12.2025,Nike,hádzaná,ms ženy,Nórsko,1.02,400
1.12.2025,Bet365,volejbal,Filipíny mpva ženy,dasmarinas,1.04,600
2.12.2025,Nike,squash,ženy,orfi,1.1,800
2.12.2025,Nike,futsal,ms ženy,Brazília,1.04,200
2.12.2025,Bet365,volejbal,Izrael muži,mate asher,1.01,540
2.12.2025,Bet365,volejbal,Challenge cup ženy,niyregihaza,1.025,540
2.12.2025,Bet365,volejbal,uruguay ženy,cbr,1.04,1000
3.12.2025,Nike,volejbal,cev cup ženy,chieri,1.01,600
3.12.2025,Bet365,volejbal,Katar muži,al rayyan,1.03,600
3.12.2025,Bet365,volejbal,Slovinsko 1b muži,Brezovica,1.025,600
3.12.2025,Bet365,volejbal,cev cup ženy,neuchatel,1.01,600
3.12.2025,Bet365,volejbal,Bosna muži,kakanj,1.05,1200
3.12.2025,Bet365,volejbal,Macedónsko muži,rabotnicki,1.05,400
4.12.2025,Nike,Badminton,muži štvorhra,Krishnamurty/pratheek,1.01,600
4.12.2025,Bet365,volejbal,Maďarsko muži,dag,1.015,400
4.12.2025,Bet365,volejbal,Bulharsko ženy,maritza,1.02,1000
5.12.2025,Bet365,volejbal,Bosna ženy,gacko,1.03,1230
5.12.2025,Bet365,volejbal,čierna hora muži,podgorica,1.01,1230
5.12.2025,Bet365,volejbal,čierna hora muži,Budva,1.01,1230
5.12.2025,Bet365,volejbal,Bosna muži,napredak,1.04,1230
5.12.2025,Bet365,volejbal,Bosna muži,napredak,1.04,604
5.12.2025,Bet365,volejbal,Bulharsko ženy,maritza,1.015,604
5.12.2025,Bet365,volejbal,čierna hora muži,podgorica,1.01,604
5.12.2025,Bet365,volejbal,čierna hora muži,Budva,1.01,604
5.12.2025,Bet365,volejbal,Maďarsko muži,kaposvar,1.01,604
5.12.2025,Bet365,volejbal,ncaa ženy,stanford,1.02,604
5.12.2025,Bet365,volejbal,ncaa ženy,lousville,1.015,520
6.12.2025,Bet365,volejbal,Rakúsko ženy,Graz,1.02,1200
6.12.2025,Bet365,volejbal,čierna hora ženy,moraca,1.01,1200
6.12.2025,Bet365,volejbal,Švédsko ženy,engelholm,1.012,1200
6.12.2025,Bet365,volejbal,faerske muži,mjolnir,1.012,1200
6.12.2025,Bet365,volejbal,Lotyšsko ženy,marupes,1.05,300
6.12.2025,Bet365,volejbal,Katar muži,al rayyan,1.025,300
6.12.2025,Bet365,volejbal,Chorvátsko ženy pohár,haok,1.05,300
6.12.2025,Bet365,volejbal,Švajčiarsko ženy,pfefingen,1.03,300
6.12.2025,Bet365,volejbal,rwanda ženy,police,1.01,300
6.12.2025,Bet365,volejbal,Portugalsko 2 ženy,praiense,1.01,300
6.12.2025,Bet365,volejbal,Portugalsko A2 ženy,praiense,1.01,300
6.12.2025,Bet365,volejbal,Chorvátsko ženy pohár,kastela,1.05,300
6.12.2025,Bet365,volejbal,Rumunsko A2 ženy,galati,1.04,300
6.12.2025,Bet365,volejbal,Izrael ženy,ashdod,1.062,300
6.12.2025,Nike,hádzaná,SVK muži,Prešov,1.01,1600
6.12.2025,Nike,hokej,Poľsko muži,Katovice,1.03,260
7.12.2025,Bet365,volejbal,Dánsko muži,nordeskov,1.04,330
7.12.2025,Bet365,volejbal,Dánsko 1 muži,fredriksberg,1.03,330
7.12.2025,Bet365,volejbal,Dánsko ženy,asv aarhus,1.01,330
7.12.2025,Bet365,volejbal,Chorvátsko pohár muži,haok,1.025,330
7.12.2025,Bet365,volejbal,SVK ženy,Žilina,1.025,1200
7.12.2025,Bet365,volejbal,faerske ženy,mjolnir,1.005,1200
7.12.2025,Bet365,volejbal,Portugalsko ženy,braga,1.005,1200
7.12.2025,Bet365,volejbal,čierna hora muži,jedinstvo,1.025,620
7.12.2025,Bet365,volejbal,international U19 ženy,Columbia,1.04,620
7.12.2025,Bet365,volejbal,Malta ženy,swieqi,1.04,620
8.12.2025,Bet365,volejbal,Maďarsko ženy,Nyíregyháza,1.02,620
8.12.2025,Bet365,volejbal,Portugalsko pohár muži,esmoriz,1.025,620
